pasada,grabacion,pattern,window_id,t_start,t_end,slice_path,label_path,mask_path,n_points
1,1_1_12_I_C_resampled,1_pattern_aligned_resampled,3,1724433120,1724436719,data\input\slices\1_1_12_I_C_resampled_3.csv,data\input\labels\1_pattern_aligned_resampled_3.csv,data\input\masks\1_1_12_I_C_resampled_3.csv,3600
1,1_1_12_I_C_resampled,1_pattern_aligned_resampled,4a,1724434920,1724436722,data\input\slices\1_1_12_I_C_resampled_4a.csv,data\input\labels\1_pattern_aligned_resampled_4a.csv,data\input\masks\1_1_12_I_C_resampled_4a.csv,3600
1,1_1_13_J_C_resampled,1_pattern_aligned_resampled,1,1724429559,1724433158,data\input\slices\1_1_13_J_C_resampled_1.csv,data\input\labels\1_pattern_aligned_resampled_1.csv,data\input\masks\1_1_13_J_C_resampled_1.csv,3600
1,1_1_13_J_C_resampled,1_pattern_aligned_resampled,2a,1724431359,1724434958,data\input\slices\1_1_13_J_C_resampled_2a.csv,data\input\labels\1_pattern_aligned_resampled_2a.csv,data\input\masks\1_1_13_J_C_resampled_2a.csv,3600
1,1_1_13_J_C_resampled,1_pattern_aligned_resampled,3,1724433159,1724436758,data\input\slices\1_1_13_J_C_resampled_3.csv,data\input\labels\1_pattern_aligned_resampled_3.csv,data\input\masks\1_1_13_J_C_resampled_3.csv,3600
1,1_1_13_J_C_resampled,1_pattern_aligned_resampled,4a,1724434959,1724436790,data\input\slices\1_1_13_J_C_resampled_4a.csv,data\input\labels\1_pattern_aligned_resampled_4a.csv,data\input\masks\1_1_13_J_C_resampled_4a.csv,3600
1,1_1_14_J_C_resampled,1_pattern_aligned_resampled,1,1724429406,1724433005,data\input\slices\1_1_14_J_C_resampled_1.csv,data\input\labels\1_pattern_aligned_resampled_1.csv,data\input\masks\1_1_14_J_C_resampled_1.csv,3600
1,1_1_14_J_C_resampled,1_pattern_aligned_resampled,2a,1724431206,1724434805,data\input\slices\1_1_14_J_C_resampled_2a.csv,data\input\labels\1_pattern_aligned_resampled_2a.csv,data\input\masks\1_1_14_J_C_resampled_2a.csv,3600
1,1_1_14_J_C_resampled,1_pattern_aligned_resampled,3,1724433006,1724436605,data\input\slices\1_1_14_J_C_resampled_3.csv,data\input\labels\1_pattern_aligned_resampled_3.csv,data\input\masks\1_1_14_J_C_resampled_3.csv,3600
1,1_1_14_J_C_resampled,1_pattern_aligned_resampled,4a,1724434806,1724436807,data\input\slices\1_1_14_J_C_resampled_4a.csv,data\input\labels\1_pattern_aligned_resampled_4a.csv,data\input\masks\1_1_14_J_C_resampled_4a.csv,3600
1,1_1_15_J_C_resampled,1_pattern_aligned_resampled,1,1724429424,1724433023,data\input\slices\1_1_15_J_C_resampled_1.csv,data\input\labels\1_pattern_aligned_resampled_1.csv,data\input\masks\1_1_15_J_C_resampled_1.csv,3600
1,1_1_15_J_C_resampled,1_pattern_aligned_resampled,2a,1724431224,1724434823,data\input\slices\1_1_15_J_C_resampled_2a.csv,data\input\labels\1_pattern_aligned_resampled_2a.csv,data\input\masks\1_1_15_J_C_resampled_2a.csv,3600
1,1_1_15_J_C_resampled,1_pattern_aligned_resampled,3,1724433024,1724436623,data\input\slices\1_1_15_J_C_resampled_3.csv,data\input\labels\1_pattern_aligned_resampled_3.csv,data\input\masks\1_1_15_J_C_resampled_3.csv,3600
1,1_1_15_J_C_resampled,1_pattern_aligned_resampled,4a,1724434824,1724436807,data\input\slices\1_1_15_J_C_resampled_4a.csv,data\input\labels\1_pattern_aligned_resampled_4a.csv,data\input\masks\1_1_15_J_C_resampled_4a.csv,3600
1,1_1_16_M_C_resampled,1_pattern_aligned_resampled,1,1724429490,1724433089,data\input\slices\1_1_16_M_C_resampled_1.csv,data\input\labels\1_pattern_aligned_resampled_1.csv,data\input\masks\1_1_16_M_C_resampled_1.csv,3600
1,1_1_16_M_C_resampled,1_pattern_aligned_resampled,2a,1724431290,1724434889,data\input\slices\1_1_16_M_C_resampled_2a.csv,data\input\labels\1_pattern_aligned_resampled_2a.csv,data\input\masks\1_1_16_M_C_resampled_2a.csv,3600
1,1_1_16_M_C_resampled,1_pattern_aligned_resampled,3,1724433090,1724436689,data\input\slices\1_1_16_M_C_resampled_3.csv,data\input\labels\1_pattern_aligned_resampled_3.csv,data\input\masks\1_1_16_M_C_resampled_3.csv,3600
1,1_1_16_M_C_resampled,1_pattern_aligned_resampled,4a,1724434890,1724436789,data\input\slices\1_1_16_M_C_resampled_4a.csv,data\input\labels\1_pattern_aligned_resampled_4a.csv,data\input\masks\1_1_16_M_C_resampled_4a.csv,3600
1,1_1_1_Q_C_resampled,1_pattern_aligned_resampled,1,1724429225,1724432824,data\input\slices\1_1_1_Q_C_resampled_1.csv,data\input\labels\1_pattern_aligned_resampled_1.csv,data\input\masks\1_1_1_Q_C_resampled_1.csv,3600
1,1_1_1_Q_C_resampled,1_pattern_aligned_resampled,2a,1724431025,1724434624,data\input\slices\1_1_1_Q_C_resampled_2a.csv,data\input\labels\1_pattern_aligned_resampled_2a.csv,data\input\masks\1_1_1_Q_C_resampled_2a.csv,3600
1,1_1_1_Q_C_resampled,1_pattern_aligned_resampled,3,1724432825,1724436424,data\input\slices\1_1_1_Q_C_resampled_3.csv,data\input\labels\1_pattern_aligned_resampled_3.csv,data\input\masks\1_1_1_Q_C_resampled_3.csv,3600
1,1_1_1_Q_C_resampled,1_pattern_aligned_resampled,4a,1724434625,1724436807,data\input\slices\1_1_1_Q_C_resampled_4a.csv,data\input\labels\1_pattern_aligned_resampled_4a.csv,data\input\masks\1_1_1_Q_C_resampled_4a.csv,3600
1,1_1_2_B_C_resampled,1_pattern_aligned_resampled,1,1724429111,1724432710,data\input\slices\1_1_2_B_C_resampled_1.csv,data\input\labels\1_pattern_aligned_resampled_1.csv,data\input\masks\1_1_2_B_C_resampled_1.csv,3600
1,1_1_2_B_C_resampled,1_pattern_aligned_resampled,2a,1724430911,1724434510,data\input\slices\1_1_2_B_C_resampled_2a.csv,data\input\labels\1_pattern_aligned_resampled_2a.csv,data\input\masks\1_1_2_B_C_resampled_2a.csv,3600
1,1_1_2_B_C_resampled,1_pattern_aligned_resampled,3,1724432711,1724436310,data\input\slices\1_1_2_B_C_resampled_3.csv,data\input\labels\1_pattern_aligned_resampled_3.csv,data\input\masks\1_1_2_B_C_resampled_3.csv,3600
1,1_1_2_B_C_resampled,1_pattern_aligned_resampled,4a,1724434511,1724436807,data\input\slices\1_1_2_B_C_resampled_4a.csv,data\input\labels\1_pattern_aligned_resampled_4a.csv,data\input\masks\1_1_2_B_C_resampled_4a.csv,3600
1,1_1_3_A_C_resampled,1_pattern_aligned_resampled,1,1724429153,1724432752,data\input\slices\1_1_3_A_C_resampled_1.csv,data\input\labels\1_pattern_aligned_resampled_1.csv,data\input\masks\1_1_3_A_C_resampled_1.csv,3600
1,1_1_3_A_C_resampled,1_pattern_aligned_resampled,2a,1724430953,1724434552,data\input\slices\1_1_3_A_C_resampled_2a.csv,data\input\labels\1_pattern_aligned_resampled_2a.csv,data\input\masks\1_1_3_A_C_resampled_2a.csv,3600
1,1_1_3_A_C_resampled,1_pattern_aligned_resampled,3,1724432753,1724436352,data\input\slices\1_1_3_A_C_resampled_3.csv,data\input\labels\1_pattern_aligned_resampled_3.csv,data\input\masks\1_1_3_A_C_resampled_3.csv,3600
1,1_1_3_A_C_resampled,1_pattern_aligned_resampled,4a,1724434553,1724436807,data\input\slices\1_1_3_A_C_resampled_4a.csv,data\input\labels\1_pattern_aligned_resampled_4a.csv,data\input\masks\1_1_3_A_C_resampled_4a.csv,3600
1,1_1_4_C_C_resampled,1_pattern_aligned_resampled,1,1724429111,1724432710,data\input\slices\1_1_4_C_C_resampled_1.csv,data\input\labels\1_pattern_aligned_resampled_1.csv,data\input\masks\1_1_4_C_C_resampled_1.csv,3600
1,1_1_4_C_C_resampled,1_pattern_aligned_resampled,2a,1724430911,1724434510,data\input\slices\1_1_4_C_C_resampled_2a.csv,data\input\labels\1_pattern_aligned_resampled_2a.csv,data\input\masks\1_1_4_C_C_resampled_2a.csv,3600
1,1_1_4_C_C_resampled,1_pattern_aligned_resampled,3,1724432711,1724436310,data\input\slices\1_1_4_C_C_resampled_3.csv,data\input\labels\1_pattern_aligned_resampled_3.csv,data\input\masks\1_1_4_C_C_resampled_3.csv,3600
1,1_1_4_C_C_resampled,1_pattern_aligned_resampled,4a,1724434511,1724436807,data\input\slices\1_1_4_C_C_resampled_4a.csv,data\input\labels\1_pattern_aligned_resampled_4a.csv,data\input\masks\1_1_4_C_C_resampled_4a.csv,3600
1,1_1_5_D_C_resampled,1_pattern_aligned_resampled,1,1724429138,1724432737,data\input\slices\1_1_5_D_C_resampled_1.csv,data\input\labels\1_pattern_aligned_resampled_1.csv,data\input\masks\1_1_5_D_C_resampled_1.csv,3600
1,1_1_5_D_C_resampled,1_pattern_aligned_resampled,2a,1724430938,1724434537,data\input\slices\1_1_5_D_C_resampled_2a.csv,data\input\labels\1_pattern_aligned_resampled_2a.csv,data\input\masks\1_1_5_D_C_resampled_2a.csv,3600
1,1_1_5_D_C_resampled,1_pattern_aligned_resampled,3,1724432738,1724436337,data\input\slices\1_1_5_D_C_resampled_3.csv,data\input\labels\1_pattern_aligned_resampled_3.csv,data\input\masks\1_1_5_D_C_resampled_3.csv,3600
1,1_1_5_D_C_resampled,1_pattern_aligned_resampled,4a,1724434538,1724436807,data\input\slices\1_1_5_D_C_resampled_4a.csv,data\input\labels\1_pattern_aligned_resampled_4a.csv,data\input\masks\1_1_5_D_C_resampled_4a.csv,3600
1,1_1_6_E_C_resampled,1_pattern_aligned_resampled,1,1724429251,1724432850,data\input\slices\1_1_6_E_C_resampled_1.csv,data\input\labels\1_pattern_aligned_resampled_1.csv,data\input\masks\1_1_6_E_C_resampled_1.csv,3600
1,1_1_6_E_C_resampled,1_pattern_aligned_resampled,2a,1724431051,1724434650,data\input\slices\1_1_6_E_C_resampled_2a.csv,data\input\labels\1_pattern_aligned_resampled_2a.csv,data\input\masks\1_1_6_E_C_resampled_2a.csv,3600
1,1_1_6_E_C_resampled,1_pattern_aligned_resampled,3,1724432851,1724436450,data\input\slices\1_1_6_E_C_resampled_3.csv,data\input\labels\1_pattern_aligned_resampled_3.csv,data\input\masks\1_1_6_E_C_resampled_3.csv,3600
1,1_1_6_E_C_resampled,1_pattern_aligned_resampled,4a,1724434651,1724436807,data\input\slices\1_1_6_E_C_resampled_4a.csv,data\input\labels\1_pattern_aligned_resampled_4a.csv,data\input\masks\1_1_6_E_C_resampled_4a.csv,3600
1,1_1_7_F_C_resampled,1_pattern_aligned_resampled,1,1724429111,1724432710,data\input\slices\1_1_7_F_C_resampled_1.csv,data\input\labels\1_pattern_aligned_resampled_1.csv,data\input\masks\1_1_7_F_C_resampled_1.csv,3600
1,1_1_7_F_C_resampled,1_pattern_aligned_resampled,2a,1724430911,1724434510,data\input\slices\1_1_7_F_C_resampled_2a.csv,data\input\labels\1_pattern_aligned_resampled_2a.csv,data\input\masks\1_1_7_F_C_resampled_2a.csv,3600
1,1_1_7_F_C_resampled,1_pattern_aligned_resampled,3,1724432711,1724436310,data\input\slices\1_1_7_F_C_resampled_3.csv,data\input\labels\1_pattern_aligned_resampled_3.csv,data\input\masks\1_1_7_F_C_resampled_3.csv,3600
1,1_1_7_F_C_resampled,1_pattern_aligned_resampled,4a,1724434511,1724436807,data\input\slices\1_1_7_F_C_resampled_4a.csv,data\input\labels\1_pattern_aligned_resampled_4a.csv,data\input\masks\1_1_7_F_C_resampled_4a.csv,3600
1,1_1_8_A_C_resampled,1_pattern_aligned_resampled,1,1724429111,1724432710,data\input\slices\1_1_8_A_C_resampled_1.csv,data\input\labels\1_pattern_aligned_resampled_1.csv,data\input\masks\1_1_8_A_C_resampled_1.csv,3600
1,1_1_8_A_C_resampled,1_pattern_aligned_resampled,2a,1724430911,1724434510,data\input\slices\1_1_8_A_C_resampled_2a.csv,data\input\labels\1_pattern_aligned_resampled_2a.csv,data\input\masks\1_1_8_A_C_resampled_2a.csv,3600
1,1_1_8_A_C_resampled,1_pattern_aligned_resampled,3,1724432711,1724436310,data\input\slices\1_1_8_A_C_resampled_3.csv,data\input\labels\1_pattern_aligned_resampled_3.csv,data\input\masks\1_1_8_A_C_resampled_3.csv,3600
1,1_1_8_A_C_resampled,1_pattern_aligned_resampled,4a,1724434511,1724436807,data\input\slices\1_1_8_A_C_resampled_4a.csv,data\input\labels\1_pattern_aligned_resampled_4a.csv,data\input\masks\1_1_8_A_C_resampled_4a.csv,3600
1,1_1_9_G_C_resampled,1_pattern_aligned_resampled,1,1724429111,1724432710,data\input\slices\1_1_9_G_C_resampled_1.csv,data\input\labels\1_pattern_aligned_resampled_1.csv,data\input\masks\1_1_9_G_C_resampled_1.csv,3600
1,1_1_9_G_C_resampled,1_pattern_aligned_resampled,2a,1724430911,1724434510,data\input\slices\1_1_9_G_C_resampled_2a.csv,data\input\labels\1_pattern_aligned_resampled_2a.csv,data\input\masks\1_1_9_G_C_resampled_2a.csv,3600
1,1_1_9_G_C_resampled,1_pattern_aligned_resampled,3,1724432711,1724436310,data\input\slices\1_1_9_G_C_resampled_3.csv,data\input\labels\1_pattern_aligned_resampled_3.csv,data\input\masks\1_1_9_G_C_resampled_3.csv,3600
1,1_1_9_G_C_resampled,1_pattern_aligned_resampled,4a,1724434511,1724436807,data\input\slices\1_1_9_G_C_resampled_4a.csv,data\input\labels\1_pattern_aligned_resampled_4a.csv,data\input\masks\1_1_9_G_C_resampled_4a.csv,3600
10,10_2_10_G_W_resampled,10_pattern_aligned_resampled,1,1725623909,1725627029,data\input\slices\10_2_10_G_W_resampled_1.csv,data\input\labels\10_pattern_aligned_resampled_1.csv,data\input\masks\10_2_10_G_W_resampled_1.csv,3600
10,10_2_11_A_W_resampled,10_pattern_aligned_resampled,1,1725623909,1725627029,data\input\slices\10_2_11_A_W_resampled_1.csv,data\input\labels\10_pattern_aligned_resampled_1.csv,data\input\masks\10_2_11_A_W_resampled_1.csv,3600
10,10_2_13_J_W_resampled,10_pattern_aligned_resampled,1,1725623909,1725627027,data\input\slices\10_2_13_J_W_resampled_1.csv,data\input\labels\10_pattern_aligned_resampled_1.csv,data\input\masks\10_2_13_J_W_resampled_1.csv,3600
10,10_2_14_J_W_resampled,10_pattern_aligned_resampled,1,1725623909,1725627029,data\input\slices\10_2_14_J_W_resampled_1.csv,data\input\labels\10_pattern_aligned_resampled_1.csv,data\input\masks\10_2_14_J_W_resampled_1.csv,3600
10,10_2_15_J_W_resampled,10_pattern_aligned_resampled,1,1725623909,1725627026,data\input\slices\10_2_15_J_W_resampled_1.csv,data\input\labels\10_pattern_aligned_resampled_1.csv,data\input\masks\10_2_15_J_W_resampled_1.csv,3600
10,10_2_16_J_W_resampled,10_pattern_aligned_resampled,1,1725623909,1725627026,data\input\slices\10_2_16_J_W_resampled_1.csv,data\input\labels\10_pattern_aligned_resampled_1.csv,data\input\masks\10_2_16_J_W_resampled_1.csv,3600
10,10_2_1_U_W_resampled,10_pattern_aligned_resampled,1,1725623909,1725627029,data\input\slices\10_2_1_U_W_resampled_1.csv,data\input\labels\10_pattern_aligned_resampled_1.csv,data\input\masks\10_2_1_U_W_resampled_1.csv,3600
10,10_2_2_U_W_resampled,10_pattern_aligned_resampled,1,1725623909,1725627029,data\input\slices\10_2_2_U_W_resampled_1.csv,data\input\labels\10_pattern_aligned_resampled_1.csv,data\input\masks\10_2_2_U_W_resampled_1.csv,3600
10,10_2_3_U_W_resampled,10_pattern_aligned_resampled,1,1725623909,1725627028,data\input\slices\10_2_3_U_W_resampled_1.csv,data\input\labels\10_pattern_aligned_resampled_1.csv,data\input\masks\10_2_3_U_W_resampled_1.csv,3600
10,10_2_4_U_W_resampled,10_pattern_aligned_resampled,1,1725623911,1725627029,data\input\slices\10_2_4_U_W_resampled_1.csv,data\input\labels\10_pattern_aligned_resampled_1.csv,data\input\masks\10_2_4_U_W_resampled_1.csv,3600
10,10_2_5_U_W_resampled,10_pattern_aligned_resampled,1,1725623911,1725627029,data\input\slices\10_2_5_U_W_resampled_1.csv,data\input\labels\10_pattern_aligned_resampled_1.csv,data\input\masks\10_2_5_U_W_resampled_1.csv,3600
10,10_2_6_A_W_resampled,10_pattern_aligned_resampled,1,1725623909,1725627029,data\input\slices\10_2_6_A_W_resampled_1.csv,data\input\labels\10_pattern_aligned_resampled_1.csv,data\input\masks\10_2_6_A_W_resampled_1.csv,3600
10,10_2_7_A_W_resampled,10_pattern_aligned_resampled,1,1725623909,1725627028,data\input\slices\10_2_7_A_W_resampled_1.csv,data\input\labels\10_pattern_aligned_resampled_1.csv,data\input\masks\10_2_7_A_W_resampled_1.csv,3600
10,10_2_8_U_W_resampled,10_pattern_aligned_resampled,1,1725623909,1725627029,data\input\slices\10_2_8_U_W_resampled_1.csv,data\input\labels\10_pattern_aligned_resampled_1.csv,data\input\masks\10_2_8_U_W_resampled_1.csv,3600
10,10_2_9_A2_W_resampled,10_pattern_aligned_resampled,1,1725623909,1725627029,data\input\slices\10_2_9_A2_W_resampled_1.csv,data\input\labels\10_pattern_aligned_resampled_1.csv,data\input\masks\10_2_9_A2_W_resampled_1.csv,3600
11,11_2_10_Z_W_resampled,11_pattern_aligned_resampled,1,1725627507,1725630486,data\input\slices\11_2_10_Z_W_resampled_1.csv,data\input\labels\11_pattern_aligned_resampled_1.csv,data\input\masks\11_2_10_Z_W_resampled_1.csv,3600
11,11_2_11_Ñ_W_resampled,11_pattern_aligned_resampled,1,1725627508,1725630486,data\input\slices\11_2_11_Ñ_W_resampled_1.csv,data\input\labels\11_pattern_aligned_resampled_1.csv,data\input\masks\11_2_11_Ñ_W_resampled_1.csv,3600
11,11_2_13_J_W_resampled,11_pattern_aligned_resampled,1,1725627507,1725630478,data\input\slices\11_2_13_J_W_resampled_1.csv,data\input\labels\11_pattern_aligned_resampled_1.csv,data\input\masks\11_2_13_J_W_resampled_1.csv,3600
11,11_2_14_J_W_resampled,11_pattern_aligned_resampled,1,1725627507,1725630465,data\input\slices\11_2_14_J_W_resampled_1.csv,data\input\labels\11_pattern_aligned_resampled_1.csv,data\input\masks\11_2_14_J_W_resampled_1.csv,3600
11,11_2_15_J_W_resampled,11_pattern_aligned_resampled,1,1725627507,1725630476,data\input\slices\11_2_15_J_W_resampled_1.csv,data\input\labels\11_pattern_aligned_resampled_1.csv,data\input\masks\11_2_15_J_W_resampled_1.csv,3600
11,11_2_16_J_W_resampled,11_pattern_aligned_resampled,1,1725627507,1725630486,data\input\slices\11_2_16_J_W_resampled_1.csv,data\input\labels\11_pattern_aligned_resampled_1.csv,data\input\masks\11_2_16_J_W_resampled_1.csv,3600
11,11_2_1_B_W_resampled,11_pattern_aligned_resampled,1,1725627507,1725630486,data\input\slices\11_2_1_B_W_resampled_1.csv,data\input\labels\11_pattern_aligned_resampled_1.csv,data\input\masks\11_2_1_B_W_resampled_1.csv,3600
11,11_2_2_B_W_resampled,11_pattern_aligned_resampled,1,1725627507,1725630486,data\input\slices\11_2_2_B_W_resampled_1.csv,data\input\labels\11_pattern_aligned_resampled_1.csv,data\input\masks\11_2_2_B_W_resampled_1.csv,3600
11,11_2_3_B_W_resampled,11_pattern_aligned_resampled,1,1725627508,1725630486,data\input\slices\11_2_3_B_W_resampled_1.csv,data\input\labels\11_pattern_aligned_resampled_1.csv,data\input\masks\11_2_3_B_W_resampled_1.csv,3600
11,11_2_4_B_W_resampled,11_pattern_aligned_resampled,1,1725627507,1725630486,data\input\slices\11_2_4_B_W_resampled_1.csv,data\input\labels\11_pattern_aligned_resampled_1.csv,data\input\masks\11_2_4_B_W_resampled_1.csv,3600
11,11_2_5_B_W_resampled,11_pattern_aligned_resampled,1,1725627507,1725630486,data\input\slices\11_2_5_B_W_resampled_1.csv,data\input\labels\11_pattern_aligned_resampled_1.csv,data\input\masks\11_2_5_B_W_resampled_1.csv,3600
11,11_2_6_Ñ_W_resampled,11_pattern_aligned_resampled,1,1725627507,1725630486,data\input\slices\11_2_6_Ñ_W_resampled_1.csv,data\input\labels\11_pattern_aligned_resampled_1.csv,data\input\masks\11_2_6_Ñ_W_resampled_1.csv,3600
11,11_2_7_Y_W_resampled,11_pattern_aligned_resampled,1,1725627507,1725630486,data\input\slices\11_2_7_Y_W_resampled_1.csv,data\input\labels\11_pattern_aligned_resampled_1.csv,data\input\masks\11_2_7_Y_W_resampled_1.csv,3600
11,11_2_8_B_W_resampled,11_pattern_aligned_resampled,1,1725627507,1725630486,data\input\slices\11_2_8_B_W_resampled_1.csv,data\input\labels\11_pattern_aligned_resampled_1.csv,data\input\masks\11_2_8_B_W_resampled_1.csv,3600
11,11_2_9_Z_W_resampled,11_pattern_aligned_resampled,1,1725627508,1725630486,data\input\slices\11_2_9_Z_W_resampled_1.csv,data\input\labels\11_pattern_aligned_resampled_1.csv,data\input\masks\11_2_9_Z_W_resampled_1.csv,3600
12,12_6_10_H_B_resampled,12_pattern_aligned_resampled,1,1725719040,1725722639,data\input\slices\12_6_10_H_B_resampled_1.csv,data\input\labels\12_pattern_aligned_resampled_1.csv,data\input\masks\12_6_10_H_B_resampled_1.csv,3600
12,12_6_10_H_B_resampled,12_pattern_aligned_resampled,2a,1725720840,1725724439,data\input\slices\12_6_10_H_B_resampled_2a.csv,data\input\labels\12_pattern_aligned_resampled_2a.csv,data\input\masks\12_6_10_H_B_resampled_2a.csv,3600
12,12_6_10_H_B_resampled,12_pattern_aligned_resampled,3,1725722640,1725726026,data\input\slices\12_6_10_H_B_resampled_3.csv,data\input\labels\12_pattern_aligned_resampled_3.csv,data\input\masks\12_6_10_H_B_resampled_3.csv,3600
12,12_6_11_A_B_resampled,12_pattern_aligned_resampled,1,1725719040,1725722639,data\input\slices\12_6_11_A_B_resampled_1.csv,data\input\labels\12_pattern_aligned_resampled_1.csv,data\input\masks\12_6_11_A_B_resampled_1.csv,3600
12,12_6_11_A_B_resampled,12_pattern_aligned_resampled,2a,1725720840,1725724439,data\input\slices\12_6_11_A_B_resampled_2a.csv,data\input\labels\12_pattern_aligned_resampled_2a.csv,data\input\masks\12_6_11_A_B_resampled_2a.csv,3600
12,12_6_11_A_B_resampled,12_pattern_aligned_resampled,3,1725722640,1725726027,data\input\slices\12_6_11_A_B_resampled_3.csv,data\input\labels\12_pattern_aligned_resampled_3.csv,data\input\masks\12_6_11_A_B_resampled_3.csv,3600
12,12_6_13_J_B_resampled,12_pattern_aligned_resampled,1,1725719040,1725722639,data\input\slices\12_6_13_J_B_resampled_1.csv,data\input\labels\12_pattern_aligned_resampled_1.csv,data\input\masks\12_6_13_J_B_resampled_1.csv,3600
12,12_6_13_J_B_resampled,12_pattern_aligned_resampled,2a,1725720840,1725724439,data\input\slices\12_6_13_J_B_resampled_2a.csv,data\input\labels\12_pattern_aligned_resampled_2a.csv,data\input\masks\12_6_13_J_B_resampled_2a.csv,3600
12,12_6_13_J_B_resampled,12_pattern_aligned_resampled,3,1725722640,1725726028,data\input\slices\12_6_13_J_B_resampled_3.csv,data\input\labels\12_pattern_aligned_resampled_3.csv,data\input\masks\12_6_13_J_B_resampled_3.csv,3600
12,12_6_14_J_B_resampled,12_pattern_aligned_resampled,1,1725719051,1725722650,data\input\slices\12_6_14_J_B_resampled_1.csv,data\input\labels\12_pattern_aligned_resampled_1.csv,data\input\masks\12_6_14_J_B_resampled_1.csv,3600
12,12_6_14_J_B_resampled,12_pattern_aligned_resampled,2a,1725720851,1725724450,data\input\slices\12_6_14_J_B_resampled_2a.csv,data\input\labels\12_pattern_aligned_resampled_2a.csv,data\input\masks\12_6_14_J_B_resampled_2a.csv,3600
12,12_6_14_J_B_resampled,12_pattern_aligned_resampled,3,1725722651,1725726028,data\input\slices\12_6_14_J_B_resampled_3.csv,data\input\labels\12_pattern_aligned_resampled_3.csv,data\input\masks\12_6_14_J_B_resampled_3.csv,3600
12,12_6_15_J_B_resampled,12_pattern_aligned_resampled,1,1725719046,1725722645,data\input\slices\12_6_15_J_B_resampled_1.csv,data\input\labels\12_pattern_aligned_resampled_1.csv,data\input\masks\12_6_15_J_B_resampled_1.csv,3600
12,12_6_15_J_B_resampled,12_pattern_aligned_resampled,2a,1725720846,1725724445,data\input\slices\12_6_15_J_B_resampled_2a.csv,data\input\labels\12_pattern_aligned_resampled_2a.csv,data\input\masks\12_6_15_J_B_resampled_2a.csv,3600
12,12_6_15_J_B_resampled,12_pattern_aligned_resampled,3,1725722646,1725726028,data\input\slices\12_6_15_J_B_resampled_3.csv,data\input\labels\12_pattern_aligned_resampled_3.csv,data\input\masks\12_6_15_J_B_resampled_3.csv,3600
12,12_6_16_M_B_resampled,12_pattern_aligned_resampled,1,1725719046,1725722645,data\input\slices\12_6_16_M_B_resampled_1.csv,data\input\labels\12_pattern_aligned_resampled_1.csv,data\input\masks\12_6_16_M_B_resampled_1.csv,3600
12,12_6_16_M_B_resampled,12_pattern_aligned_resampled,2a,1725720846,1725724445,data\input\slices\12_6_16_M_B_resampled_2a.csv,data\input\labels\12_pattern_aligned_resampled_2a.csv,data\input\masks\12_6_16_M_B_resampled_2a.csv,3600
