pasada,modalidad,set,grabacion,pattern,window_id,t_start,t_end,slice_path,label_path,mask_path,n_points
1,caminar,train,1_1_1_Q_C_resampled,1_aligned_pattern_resampled,1,1724429504,1724433103,data/input\train\slices\1_1_1_Q_C_resampled_1.csv,data/input\train\labels\1_aligned_pattern_resampled_1.csv,data/input\train\masks\1_1_1_Q_C_resampled_1.csv,3600
1,caminar,train,1_1_1_Q_C_resampled,1_aligned_pattern_resampled,2a,1724431304,1724434903,data/input\train\slices\1_1_1_Q_C_resampled_2a.csv,data/input\train\labels\1_aligned_pattern_resampled_2a.csv,data/input\train\masks\1_1_1_Q_C_resampled_2a.csv,3600
1,caminar,train,1_1_1_Q_C_resampled,1_aligned_pattern_resampled,3,1724433104,1724436703,data/input\train\slices\1_1_1_Q_C_resampled_3.csv,data/input\train\labels\1_aligned_pattern_resampled_3.csv,data/input\train\masks\1_1_1_Q_C_resampled_3.csv,3600
1,caminar,train,1_1_1_Q_C_resampled,1_aligned_pattern_resampled,4a,1724434904,1724436804,data/input\train\slices\1_1_1_Q_C_resampled_4a.csv,data/input\train\labels\1_aligned_pattern_resampled_4a.csv,data/input\train\masks\1_1_1_Q_C_resampled_4a.csv,3600
1,caminar,train,1_1_2_B_C_resampled,1_aligned_pattern_resampled,1,1724429504,1724433103,data/input\train\slices\1_1_2_B_C_resampled_1.csv,data/input\train\labels\1_aligned_pattern_resampled_1.csv,data/input\train\masks\1_1_2_B_C_resampled_1.csv,3600
1,caminar,train,1_1_2_B_C_resampled,1_aligned_pattern_resampled,2a,1724431304,1724434903,data/input\train\slices\1_1_2_B_C_resampled_2a.csv,data/input\train\labels\1_aligned_pattern_resampled_2a.csv,data/input\train\masks\1_1_2_B_C_resampled_2a.csv,3600
1,caminar,train,1_1_2_B_C_resampled,1_aligned_pattern_resampled,3,1724433104,1724436703,data/input\train\slices\1_1_2_B_C_resampled_3.csv,data/input\train\labels\1_aligned_pattern_resampled_3.csv,data/input\train\masks\1_1_2_B_C_resampled_3.csv,3600
1,caminar,train,1_1_2_B_C_resampled,1_aligned_pattern_resampled,4a,1724434904,1724436804,data/input\train\slices\1_1_2_B_C_resampled_4a.csv,data/input\train\labels\1_aligned_pattern_resampled_4a.csv,data/input\train\masks\1_1_2_B_C_resampled_4a.csv,3600
1,caminar,train,1_1_3_A_C_resampled,1_aligned_pattern_resampled,1,1724429504,1724433103,data/input\train\slices\1_1_3_A_C_resampled_1.csv,data/input\train\labels\1_aligned_pattern_resampled_1.csv,data/input\train\masks\1_1_3_A_C_resampled_1.csv,3600
1,caminar,train,1_1_3_A_C_resampled,1_aligned_pattern_resampled,2a,1724431304,1724434903,data/input\train\slices\1_1_3_A_C_resampled_2a.csv,data/input\train\labels\1_aligned_pattern_resampled_2a.csv,data/input\train\masks\1_1_3_A_C_resampled_2a.csv,3600
1,caminar,train,1_1_3_A_C_resampled,1_aligned_pattern_resampled,3,1724433104,1724436703,data/input\train\slices\1_1_3_A_C_resampled_3.csv,data/input\train\labels\1_aligned_pattern_resampled_3.csv,data/input\train\masks\1_1_3_A_C_resampled_3.csv,3600
1,caminar,train,1_1_3_A_C_resampled,1_aligned_pattern_resampled,4a,1724434904,1724436804,data/input\train\slices\1_1_3_A_C_resampled_4a.csv,data/input\train\labels\1_aligned_pattern_resampled_4a.csv,data/input\train\masks\1_1_3_A_C_resampled_4a.csv,3600
1,caminar,train,1_1_4_C_C_resampled,1_aligned_pattern_resampled,1,1724429504,1724433103,data/input\train\slices\1_1_4_C_C_resampled_1.csv,data/input\train\labels\1_aligned_pattern_resampled_1.csv,data/input\train\masks\1_1_4_C_C_resampled_1.csv,3600
1,caminar,train,1_1_4_C_C_resampled,1_aligned_pattern_resampled,2a,1724431304,1724434903,data/input\train\slices\1_1_4_C_C_resampled_2a.csv,data/input\train\labels\1_aligned_pattern_resampled_2a.csv,data/input\train\masks\1_1_4_C_C_resampled_2a.csv,3600
1,caminar,train,1_1_4_C_C_resampled,1_aligned_pattern_resampled,3,1724433104,1724436703,data/input\train\slices\1_1_4_C_C_resampled_3.csv,data/input\train\labels\1_aligned_pattern_resampled_3.csv,data/input\train\masks\1_1_4_C_C_resampled_3.csv,3600
1,caminar,train,1_1_4_C_C_resampled,1_aligned_pattern_resampled,4a,1724434904,1724436804,data/input\train\slices\1_1_4_C_C_resampled_4a.csv,data/input\train\labels\1_aligned_pattern_resampled_4a.csv,data/input\train\masks\1_1_4_C_C_resampled_4a.csv,3600
1,caminar,train,1_1_5_D_C_resampled,1_aligned_pattern_resampled,1,1724429504,1724433103,data/input\train\slices\1_1_5_D_C_resampled_1.csv,data/input\train\labels\1_aligned_pattern_resampled_1.csv,data/input\train\masks\1_1_5_D_C_resampled_1.csv,3600
1,caminar,train,1_1_5_D_C_resampled,1_aligned_pattern_resampled,2a,1724431304,1724434903,data/input\train\slices\1_1_5_D_C_resampled_2a.csv,data/input\train\labels\1_aligned_pattern_resampled_2a.csv,data/input\train\masks\1_1_5_D_C_resampled_2a.csv,3600
1,caminar,train,1_1_5_D_C_resampled,1_aligned_pattern_resampled,3,1724433104,1724436703,data/input\train\slices\1_1_5_D_C_resampled_3.csv,data/input\train\labels\1_aligned_pattern_resampled_3.csv,data/input\train\masks\1_1_5_D_C_resampled_3.csv,3600
1,caminar,train,1_1_5_D_C_resampled,1_aligned_pattern_resampled,4a,1724434904,1724436804,data/input\train\slices\1_1_5_D_C_resampled_4a.csv,data/input\train\labels\1_aligned_pattern_resampled_4a.csv,data/input\train\masks\1_1_5_D_C_resampled_4a.csv,3600
1,caminar,train,1_1_6_E_C_resampled,1_aligned_pattern_resampled,1,1724429504,1724433103,data/input\train\slices\1_1_6_E_C_resampled_1.csv,data/input\train\labels\1_aligned_pattern_resampled_1.csv,data/input\train\masks\1_1_6_E_C_resampled_1.csv,3600
1,caminar,train,1_1_6_E_C_resampled,1_aligned_pattern_resampled,2a,1724431304,1724434903,data/input\train\slices\1_1_6_E_C_resampled_2a.csv,data/input\train\labels\1_aligned_pattern_resampled_2a.csv,data/input\train\masks\1_1_6_E_C_resampled_2a.csv,3600
1,caminar,train,1_1_6_E_C_resampled,1_aligned_pattern_resampled,3,1724433104,1724436703,data/input\train\slices\1_1_6_E_C_resampled_3.csv,data/input\train\labels\1_aligned_pattern_resampled_3.csv,data/input\train\masks\1_1_6_E_C_resampled_3.csv,3600
1,caminar,train,1_1_6_E_C_resampled,1_aligned_pattern_resampled,4a,1724434904,1724436804,data/input\train\slices\1_1_6_E_C_resampled_4a.csv,data/input\train\labels\1_aligned_pattern_resampled_4a.csv,data/input\train\masks\1_1_6_E_C_resampled_4a.csv,3600
1,caminar,train,1_1_7_F_C_resampled,1_aligned_pattern_resampled,1,1724429504,1724433103,data/input\train\slices\1_1_7_F_C_resampled_1.csv,data/input\train\labels\1_aligned_pattern_resampled_1.csv,data/input\train\masks\1_1_7_F_C_resampled_1.csv,3600
1,caminar,train,1_1_7_F_C_resampled,1_aligned_pattern_resampled,2a,1724431304,1724434903,data/input\train\slices\1_1_7_F_C_resampled_2a.csv,data/input\train\labels\1_aligned_pattern_resampled_2a.csv,data/input\train\masks\1_1_7_F_C_resampled_2a.csv,3600
1,caminar,train,1_1_7_F_C_resampled,1_aligned_pattern_resampled,3,1724433104,1724436703,data/input\train\slices\1_1_7_F_C_resampled_3.csv,data/input\train\labels\1_aligned_pattern_resampled_3.csv,data/input\train\masks\1_1_7_F_C_resampled_3.csv,3600
1,caminar,train,1_1_7_F_C_resampled,1_aligned_pattern_resampled,4a,1724434904,1724436804,data/input\train\slices\1_1_7_F_C_resampled_4a.csv,data/input\train\labels\1_aligned_pattern_resampled_4a.csv,data/input\train\masks\1_1_7_F_C_resampled_4a.csv,3600
1,caminar,train,1_1_8_A_C_resampled,1_aligned_pattern_resampled,1,1724429504,1724433103,data/input\train\slices\1_1_8_A_C_resampled_1.csv,data/input\train\labels\1_aligned_pattern_resampled_1.csv,data/input\train\masks\1_1_8_A_C_resampled_1.csv,3600
1,caminar,train,1_1_8_A_C_resampled,1_aligned_pattern_resampled,2a,1724431304,1724434903,data/input\train\slices\1_1_8_A_C_resampled_2a.csv,data/input\train\labels\1_aligned_pattern_resampled_2a.csv,data/input\train\masks\1_1_8_A_C_resampled_2a.csv,3600
1,caminar,train,1_1_8_A_C_resampled,1_aligned_pattern_resampled,3,1724433104,1724436703,data/input\train\slices\1_1_8_A_C_resampled_3.csv,data/input\train\labels\1_aligned_pattern_resampled_3.csv,data/input\train\masks\1_1_8_A_C_resampled_3.csv,3600
1,caminar,train,1_1_8_A_C_resampled,1_aligned_pattern_resampled,4a,1724434904,1724436804,data/input\train\slices\1_1_8_A_C_resampled_4a.csv,data/input\train\labels\1_aligned_pattern_resampled_4a.csv,data/input\train\masks\1_1_8_A_C_resampled_4a.csv,3600
1,caminar,train,1_1_9_G_C_resampled,1_aligned_pattern_resampled,1,1724429504,1724433103,data/input\train\slices\1_1_9_G_C_resampled_1.csv,data/input\train\labels\1_aligned_pattern_resampled_1.csv,data/input\train\masks\1_1_9_G_C_resampled_1.csv,3600
1,caminar,train,1_1_9_G_C_resampled,1_aligned_pattern_resampled,2a,1724431304,1724434903,data/input\train\slices\1_1_9_G_C_resampled_2a.csv,data/input\train\labels\1_aligned_pattern_resampled_2a.csv,data/input\train\masks\1_1_9_G_C_resampled_2a.csv,3600
1,caminar,train,1_1_9_G_C_resampled,1_aligned_pattern_resampled,3,1724433104,1724436703,data/input\train\slices\1_1_9_G_C_resampled_3.csv,data/input\train\labels\1_aligned_pattern_resampled_3.csv,data/input\train\masks\1_1_9_G_C_resampled_3.csv,3600
1,caminar,train,1_1_9_G_C_resampled,1_aligned_pattern_resampled,4a,1724434904,1724436804,data/input\train\slices\1_1_9_G_C_resampled_4a.csv,data/input\train\labels\1_aligned_pattern_resampled_4a.csv,data/input\train\masks\1_1_9_G_C_resampled_4a.csv,3600
11,caminar,train,11_2_10_Z_W_resampled,11_aligned_pattern_resampled,1,1725627503,1725630501,data/input\train\slices\11_2_10_Z_W_resampled_1.csv,data/input\train\labels\11_aligned_pattern_resampled_1.csv,data/input\train\masks\11_2_10_Z_W_resampled_1.csv,3600
11,caminar,train,11_2_11_Ñ_W_resampled,11_aligned_pattern_resampled,1,1725627508,1725630501,data/input\train\slices\11_2_11_Ñ_W_resampled_1.csv,data/input\train\labels\11_aligned_pattern_resampled_1.csv,data/input\train\masks\11_2_11_Ñ_W_resampled_1.csv,3600
11,caminar,train,11_2_12_A1_W_resampled,11_aligned_pattern_resampled,1,1725627503,1725630341,data/input\train\slices\11_2_12_A1_W_resampled_1.csv,data/input\train\labels\11_aligned_pattern_resampled_1.csv,data/input\train\masks\11_2_12_A1_W_resampled_1.csv,3600
11,caminar,train,11_2_13_J_W_resampled,11_aligned_pattern_resampled,1,1725627503,1725630478,data/input\train\slices\11_2_13_J_W_resampled_1.csv,data/input\train\labels\11_aligned_pattern_resampled_1.csv,data/input\train\masks\11_2_13_J_W_resampled_1.csv,3600
11,caminar,train,11_2_14_J_W_resampled,11_aligned_pattern_resampled,1,1725627503,1725630465,data/input\train\slices\11_2_14_J_W_resampled_1.csv,data/input\train\labels\11_aligned_pattern_resampled_1.csv,data/input\train\masks\11_2_14_J_W_resampled_1.csv,3600
11,caminar,train,11_2_15_J_W_resampled,11_aligned_pattern_resampled,1,1725627503,1725630476,data/input\train\slices\11_2_15_J_W_resampled_1.csv,data/input\train\labels\11_aligned_pattern_resampled_1.csv,data/input\train\masks\11_2_15_J_W_resampled_1.csv,3600
11,caminar,train,11_2_16_J_W_resampled,11_aligned_pattern_resampled,1,1725627503,1725630490,data/input\train\slices\11_2_16_J_W_resampled_1.csv,data/input\train\labels\11_aligned_pattern_resampled_1.csv,data/input\train\masks\11_2_16_J_W_resampled_1.csv,3600
11,caminar,train,11_2_1_B_W_resampled,11_aligned_pattern_resampled,1,1725627503,1725630501,data/input\train\slices\11_2_1_B_W_resampled_1.csv,data/input\train\labels\11_aligned_pattern_resampled_1.csv,data/input\train\masks\11_2_1_B_W_resampled_1.csv,3600
11,caminar,train,11_2_2_B_W_resampled,11_aligned_pattern_resampled,1,1725627503,1725630501,data/input\train\slices\11_2_2_B_W_resampled_1.csv,data/input\train\labels\11_aligned_pattern_resampled_1.csv,data/input\train\masks\11_2_2_B_W_resampled_1.csv,3600
11,caminar,train,11_2_3_B_W_resampled,11_aligned_pattern_resampled,1,1725627508,1725630501,data/input\train\slices\11_2_3_B_W_resampled_1.csv,data/input\train\labels\11_aligned_pattern_resampled_1.csv,data/input\train\masks\11_2_3_B_W_resampled_1.csv,3600
11,caminar,train,11_2_4_B_W_resampled,11_aligned_pattern_resampled,1,1725627505,1725630498,data/input\train\slices\11_2_4_B_W_resampled_1.csv,data/input\train\labels\11_aligned_pattern_resampled_1.csv,data/input\train\masks\11_2_4_B_W_resampled_1.csv,3600
11,caminar,train,11_2_5_B_W_resampled,11_aligned_pattern_resampled,1,1725627503,1725630487,data/input\train\slices\11_2_5_B_W_resampled_1.csv,data/input\train\labels\11_aligned_pattern_resampled_1.csv,data/input\train\masks\11_2_5_B_W_resampled_1.csv,3600
11,caminar,train,11_2_6_Ñ_W_resampled,11_aligned_pattern_resampled,1,1725627503,1725630499,data/input\train\slices\11_2_6_Ñ_W_resampled_1.csv,data/input\train\labels\11_aligned_pattern_resampled_1.csv,data/input\train\masks\11_2_6_Ñ_W_resampled_1.csv,3600
11,caminar,train,11_2_7_Y_W_resampled,11_aligned_pattern_resampled,1,1725627503,1725630501,data/input\train\slices\11_2_7_Y_W_resampled_1.csv,data/input\train\labels\11_aligned_pattern_resampled_1.csv,data/input\train\masks\11_2_7_Y_W_resampled_1.csv,3600
11,caminar,train,11_2_8_B_W_resampled,11_aligned_pattern_resampled,1,1725627503,1725630501,data/input\train\slices\11_2_8_B_W_resampled_1.csv,data/input\train\labels\11_aligned_pattern_resampled_1.csv,data/input\train\masks\11_2_8_B_W_resampled_1.csv,3600
11,caminar,train,11_2_9_Z_W_resampled,11_aligned_pattern_resampled,1,1725627508,1725630501,data/input\train\slices\11_2_9_Z_W_resampled_1.csv,data/input\train\labels\11_aligned_pattern_resampled_1.csv,data/input\train\masks\11_2_9_Z_W_resampled_1.csv,3600
12,caminar,train,12_6_10_H_B_resampled,12_aligned_pattern_resampled,1,1725719039,1725722638,data/input\train\slices\12_6_10_H_B_resampled_1.csv,data/input\train\labels\12_aligned_pattern_resampled_1.csv,data/input\train\masks\12_6_10_H_B_resampled_1.csv,3600
12,caminar,train,12_6_10_H_B_resampled,12_aligned_pattern_resampled,2a,1725720839,1725724438,data/input\train\slices\12_6_10_H_B_resampled_2a.csv,data/input\train\labels\12_aligned_pattern_resampled_2a.csv,data/input\train\masks\12_6_10_H_B_resampled_2a.csv,3600
12,caminar,train,12_6_10_H_B_resampled,12_aligned_pattern_resampled,3,1725722639,1725726026,data/input\train\slices\12_6_10_H_B_resampled_3.csv,data/input\train\labels\12_aligned_pattern_resampled_3.csv,data/input\train\masks\12_6_10_H_B_resampled_3.csv,3600
12,caminar,train,12_6_11_A_B_resampled,12_aligned_pattern_resampled,1,1725719038,1725722637,data/input\train\slices\12_6_11_A_B_resampled_1.csv,data/input\train\labels\12_aligned_pattern_resampled_1.csv,data/input\train\masks\12_6_11_A_B_resampled_1.csv,3600
12,caminar,train,12_6_11_A_B_resampled,12_aligned_pattern_resampled,2a,1725720838,1725724437,data/input\train\slices\12_6_11_A_B_resampled_2a.csv,data/input\train\labels\12_aligned_pattern_resampled_2a.csv,data/input\train\masks\12_6_11_A_B_resampled_2a.csv,3600
12,caminar,train,12_6_11_A_B_resampled,12_aligned_pattern_resampled,3,1725722638,1725726027,data/input\train\slices\12_6_11_A_B_resampled_3.csv,data/input\train\labels\12_aligned_pattern_resampled_3.csv,data/input\train\masks\12_6_11_A_B_resampled_3.csv,3600
12,caminar,train,12_6_13_J_B_resampled,12_aligned_pattern_resampled,1,1725719035,1725722634,data/input\train\slices\12_6_13_J_B_resampled_1.csv,data/input\train\labels\12_aligned_pattern_resampled_1.csv,data/input\train\masks\12_6_13_J_B_resampled_1.csv,3600
12,caminar,train,12_6_13_J_B_resampled,12_aligned_pattern_resampled,2a,1725720835,1725724434,data/input\train\slices\12_6_13_J_B_resampled_2a.csv,data/input\train\labels\12_aligned_pattern_resampled_2a.csv,data/input\train\masks\12_6_13_J_B_resampled_2a.csv,3600
12,caminar,train,12_6_13_J_B_resampled,12_aligned_pattern_resampled,3,1725722635,1725726027,data/input\train\slices\12_6_13_J_B_resampled_3.csv,data/input\train\labels\12_aligned_pattern_resampled_3.csv,data/input\train\masks\12_6_13_J_B_resampled_3.csv,3600
12,caminar,train,12_6_14_J_B_resampled,12_aligned_pattern_resampled,1,1725719051,1725722650,data/input\train\slices\12_6_14_J_B_resampled_1.csv,data/input\train\labels\12_aligned_pattern_resampled_1.csv,data/input\train\masks\12_6_14_J_B_resampled_1.csv,3600
12,caminar,train,12_6_14_J_B_resampled,12_aligned_pattern_resampled,2a,1725720851,1725724450,data/input\train\slices\12_6_14_J_B_resampled_2a.csv,data/input\train\labels\12_aligned_pattern_resampled_2a.csv,data/input\train\masks\12_6_14_J_B_resampled_2a.csv,3600
12,caminar,train,12_6_14_J_B_resampled,12_aligned_pattern_resampled,3,1725722651,1725726027,data/input\train\slices\12_6_14_J_B_resampled_3.csv,data/input\train\labels\12_aligned_pattern_resampled_3.csv,data/input\train\masks\12_6_14_J_B_resampled_3.csv,3600
12,caminar,train,12_6_15_J_B_resampled,12_aligned_pattern_resampled,1,1725719046,1725722645,data/input\train\slices\12_6_15_J_B_resampled_1.csv,data/input\train\labels\12_aligned_pattern_resampled_1.csv,data/input\train\masks\12_6_15_J_B_resampled_1.csv,3600
12,caminar,train,12_6_15_J_B_resampled,12_aligned_pattern_resampled,2a,1725720846,1725724445,data/input\train\slices\12_6_15_J_B_resampled_2a.csv,data/input\train\labels\12_aligned_pattern_resampled_2a.csv,data/input\train\masks\12_6_15_J_B_resampled_2a.csv,3600
12,caminar,train,12_6_15_J_B_resampled,12_aligned_pattern_resampled,3,1725722646,1725726027,data/input\train\slices\12_6_15_J_B_resampled_3.csv,data/input\train\labels\12_aligned_pattern_resampled_3.csv,data/input\train\masks\12_6_15_J_B_resampled_3.csv,3600
12,caminar,train,12_6_16_M_B_resampled,12_aligned_pattern_resampled,1,1725719046,1725722645,data/input\train\slices\12_6_16_M_B_resampled_1.csv,data/input\train\labels\12_aligned_pattern_resampled_1.csv,data/input\train\masks\12_6_16_M_B_resampled_1.csv,3600
12,caminar,train,12_6_16_M_B_resampled,12_aligned_pattern_resampled,2a,1725720846,1725724445,data/input\train\slices\12_6_16_M_B_resampled_2a.csv,data/input\train\labels\12_aligned_pattern_resampled_2a.csv,data/input\train\masks\12_6_16_M_B_resampled_2a.csv,3600
12,caminar,train,12_6_16_M_B_resampled,12_aligned_pattern_resampled,3,1725722646,1725726027,data/input\train\slices\12_6_16_M_B_resampled_3.csv,data/input\train\labels\12_aligned_pattern_resampled_3.csv,data/input\train\masks\12_6_16_M_B_resampled_3.csv,3600
12,caminar,train,12_6_1_A_B_resampled,12_aligned_pattern_resampled,1,1725719041,1725722640,data/input\train\slices\12_6_1_A_B_resampled_1.csv,data/input\train\labels\12_aligned_pattern_resampled_1.csv,data/input\train\masks\12_6_1_A_B_resampled_1.csv,3600
12,caminar,train,12_6_1_A_B_resampled,12_aligned_pattern_resampled,2a,1725720841,1725724440,data/input\train\slices\12_6_1_A_B_resampled_2a.csv,data/input\train\labels\12_aligned_pattern_resampled_2a.csv,data/input\train\masks\12_6_1_A_B_resampled_2a.csv,3600
12,caminar,train,12_6_1_A_B_resampled,12_aligned_pattern_resampled,3,1725722641,1725726027,data/input\train\slices\12_6_1_A_B_resampled_3.csv,data/input\train\labels\12_aligned_pattern_resampled_3.csv,data/input\train\masks\12_6_1_A_B_resampled_3.csv,3600
